season,winner,runner_up,third_place,note,status,source
2025/26,Simen Ulriksen,Matz Andreas Håheim,Rasmus Grytvik-Skoglund,,Bekreftet,Lofthus Road Open Hall of Fame
2024/25,Mats Øyvind Jacobsen Arntzen,Robin Andersen,,,Bekreftet,Lofthus Road Open Hall of Fame
2023/24,Øyvind Nordmo Sivertsen,Sindre Krognes,Nickolai Macpherson,,Bekreftet,Lofthus Road Open Hall of Fame
2022/23,Kristoffer W Pettersen,Nils Åsheim Megård,Robin Andersen,,Bekreftet,Lofthus Road Open Hall of Fame
2021/22,Rasmus Grytvik-Skoglund,Håkon Juliussen,Øyvind Nordmo Sivertsen,,Bekreftet,Lofthus Road Open Hall of Fame
2020/21,Øyvind Nordmo Sivertsen,Rasmus Grytvik-Skoglund,Adrian Johansen,,Bekreftet,Lofthus Road Open Hall of Fame
